Job Title,Company Name,Location,Years of Experience,Min_Experience,Experience_Level,Salary,Salary_Min_LPA,Salary_Max_LPA,Skills,Industry,Function,Employment Type,Skill_Python,Skill_SQL,Skill_Excel,Skill_Power_BI,Skill_Tableau,Skill_Machine_Learning,Skill_Statistics
Data Analyst,virtusa consulting services pvt. ltd.,Chennai (Tamil Nadu),card_travel\n\t\t\t\n\t\t\t \n\t\t\t 5 to ...,5.0,3–5 Years,₹\n As per Industry Standards,,,", Key Skills, , data analysis \nsql \nbusiness...","IT-Hardware/Networking, Telecom",Job Function:\nIT Software : Software Products...,Any Graduate,0,1,0,0,0,0,0
Data Analyst,virtusa consulting services pvt. ltd.,Chennai (Tamil Nadu),card_travel\n\t\t\t\n\t\t\t \n\t\t\t 5 to ...,5.0,3–5 Years,₹\n As per Industry Standards,,,", Key Skills, , data analysis \nsql \nbusiness...","IT-Hardware/Networking, Telecom",Job Function:\nIT Software : Software Products...,Employment Type:\n \t\t \tFull Time,0,1,0,0,0,0,0
Data Analyst,virtusa consulting services pvt. ltd.,Chennai (Tamil Nadu),card_travel\n\t\t\t\n\t\t\t \n\t\t\t 5 to ...,5.0,3–5 Years,₹\n As per Industry Standards,,,", Key Skills, , data analysis \nsql \nbusiness...","IT-Hardware/Networking, Telecom",Job Function:\nIT Software : Software Products...,Any Graduate,0,1,0,0,0,0,0
Data Analyst,virtusa consulting services pvt. ltd.,Chennai (Tamil Nadu),card_travel\n\t\t\t\n\t\t\t \n\t\t\t 5 to ...,5.0,3–5 Years,₹\n As per Industry Standards,,,", Key Skills, , data analysis \nsnowflake \npo...","IT-Hardware/Networking, Telecom",Job Function:\nIT Software : Software Products...,Any Graduate,0,0,0,0,0,0,0
Data Analyst,virtusa consulting services pvt. ltd.,Chennai (Tamil Nadu),card_travel\n\t\t\t\n\t\t\t \n\t\t\t 8 to ...,8.0,6+ Years,₹\n As per Industry Standards,,,", Key Skills, , data analysis \ndata modelling...","IT-Hardware/Networking, Telecom",Job Function:\nBio Tech/R&D/Scientist,Employment Type:\n \t\t \tFull Time,0,0,0,0,0,0,0
Data Analyst,virtusa consulting services pvt. ltd.,"null (Null), Hyderabad/...",card_travel\n\t\t\t\n\t\t\t \n\t\t\t 6 to ...,6.0,6+ Years,₹\n As per Industry Standards,,,", Key Skills, , data migration \ndata models \...","IT-Hardware/Networking, Telecom",Job Function:\nIT Software : Software Products...,Any Graduate,0,0,0,0,0,0,0
Data Analyst,virtusa consulting services pvt. ltd.,Chennai (Tamil Nadu),card_travel\n\t\t\t\n\t\t\t \n\t\t\t 8 to ...,8.0,6+ Years,₹\n As per Industry Standards,,,", Key Skills, , data analysis \ndata modelling...","IT-Hardware/Networking, Telecom",Job Function:\nIT Software : Software Products...,Any Graduate,0,0,0,0,0,0,0
Data Analyst,virtusa consulting services pvt. ltd.,Chennai (Tamil Nadu),card_travel\n\t\t\t\n\t\t\t \n\t\t\t 1 to ...,1.0,1–2 Years,₹\n As per Industry Standards,,,", Key Skills, , data analysis \ndata modelling...","IT-Hardware/Networking, Telecom",Job Function:\nIT Software : Software Products...,Employment Type:\n \t\t \tFull Time,0,0,0,0,0,0,0
Data Analyst,virtusa consulting services pvt. ltd.,Chennai (Tamil Nadu),card_travel\n\t\t\t\n\t\t\t \n\t\t\t 0 to ...,0.0,Fresher / 0 Years,₹\n As per Industry Standards,,,", Key Skills, , data analysis \ndata modelling...","IT-Hardware/Networking, Telecom",Job Function:\nIT Software : Software Products...,Employment Type:\n \t\t \tFull Time,0,0,0,0,0,0,0
Data Analyst,virtusa consulting services pvt. ltd.,Chennai (Tamil Nadu),card_travel\n\t\t\t\n\t\t\t \n\t\t\t 2 to ...,2.0,1–2 Years,₹\n As per Industry Standards,,,", Key Skills, , data analysis \ndomo platform ...","IT-Hardware/Networking, Telecom",Job Function:\nIT Software : Software Products...,Employment Type:\n \t\t \tFull Time,0,0,0,0,0,0,0
